location,iso_code,corruption_control,cpi,governament_effectiveness,healthcare_expenditure,number_of_arrivals,political_regime,trust_in_governance,government_type,wave,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
Greece,GRC,0.0431178,48,0.3490244,2290.646,34005000.0,2,39.6424619237357,2,1,10370747.0,83.479,45.3,24574.382,3409.0,192.0,249650.0,0.0,0.0
Greece,GRC,0.0431178,48,0.3490244,2290.646,34005000.0,2,39.6424619237357,2,2,10370747.0,83.479,45.3,24574.382,128533.0,4572.0,2140792.0,0.0,1892.0
Greece,GRC,0.0431178,48,0.3490244,2290.646,34005000.0,2,39.6424619237357,2,3,10370747.0,83.479,45.3,24574.382,265499.0,6910.0,5960900.0,0.0,7239152.0
Greece,GRC,0.0431178,48,0.3490244,2290.646,34005000.0,2,39.6424619237357,2,4,10370747.0,83.479,45.3,24574.382,424695.0,5784.0,16707794.0,0.0,4347443.0
Hungary,HUN,0.0600961,44,0.4960532,2102.765,61397000.0,1,48.3934186398412,2,1,9634162.0,108.043,43.4,26777.561,4155.0,585.0,274715.0,0.0,0.0
Hungary,HUN,0.0600961,44,0.4960532,2102.765,61397000.0,1,48.3934186398412,2,2,9634162.0,108.043,43.4,26777.561,316375.0,8922.0,1799107.0,0.0,0.0
Hungary,HUN,0.0600961,44,0.4960532,2102.765,61397000.0,1,48.3934186398412,2,3,9634162.0,108.043,43.4,26777.561,440542.0,17468.0,2972007.0,0.0,8108598.0
Hungary,HUN,0.0600961,44,0.4960532,2102.765,61397000.0,1,48.3934186398412,2,4,9634162.0,108.043,43.4,26777.561,390177.0,7021.0,2279399.0,0.0,0.0
Iceland,ISL,1.708176,78,1.51794,4376.857,2202000.0,3,52.1377060493115,2,1,343360.0,3.404,37.3,46482.958,1824.0,10.0,65834.0,0.0,0.0
Iceland,ISL,1.708176,78,1.51794,4376.857,2202000.0,3,52.1377060493115,2,2,343360.0,3.404,37.3,46482.958,3647.0,19.0,151355.0,0.0,0.0
Iceland,ISL,1.708176,78,1.51794,4376.857,2202000.0,3,52.1377060493115,2,3,343360.0,3.404,37.3,46482.958,647.0,1.0,161707.0,0.0,194411.0
Iceland,ISL,1.708176,78,1.51794,4376.857,2202000.0,3,52.1377060493115,2,4,343360.0,3.404,37.3,46482.958,8919.0,3.0,192686.0,0.0,13613.0
Ireland,IRL,1.494599,74,1.291792,4897.59,10951000.0,3,58.1215976215141,2,1,4982904.0,69.874,38.7,67335.293,25473.0,1736.0,423363.0,7093.0,0.0
Ireland,IRL,1.494599,74,1.291792,4897.59,10951000.0,3,58.1215976215141,2,2,4982904.0,69.874,38.7,67335.293,62968.0,460.0,1534995.0,3370.0,2139.0
Ireland,IRL,1.494599,74,1.291792,4897.59,10951000.0,3,58.1215976215141,2,3,4982904.0,69.874,38.7,67335.293,75361.0,1691.0,2457211.0,10607.0,4195100.0
Ireland,IRL,1.494599,74,1.291792,4897.59,10951000.0,3,58.1215976215141,2,4,4982904.0,69.874,38.7,67335.293,279730.0,696.0,2651504.0,8019.0,1857970.0
Israel,ISR,0.8063501,60,1.325325,2836.329,4905000.0,3,49.5666912173238,2,1,9291000.0,402.606,30.6,33132.32,25438.0,327.0,1000499.0,0.0,0.0
Israel,ISR,0.8063501,60,1.325325,2836.329,4905000.0,3,49.5666912173238,2,2,9291000.0,402.606,30.6,33132.32,306356.0,2372.0,5869890.0,21233.0,991562.0
Israel,ISR,0.8063501,60,1.325325,2836.329,4905000.0,3,49.5666912173238,2,3,9291000.0,402.606,30.6,33132.32,198342.0,1633.0,6204196.0,23376.0,5842698.0
Israel,ISR,0.8063501,60,1.325325,2836.329,4905000.0,3,49.5666912173238,2,4,9291000.0,402.606,30.6,33132.32,285424.0,1181.0,10211397.0,17507.0,2570311.0
Italy,ITA,0.2645699,53,0.4831744,3522.076,95399000.0,3,22.1925858303397,2,1,60367471.0,205.859,47.9,35220.084,240576.0,34767.0,5385786.0,184722.0,0.0
Italy,ITA,0.2645699,53,0.4831744,3522.076,95399000.0,3,22.1925858303397,2,2,60367471.0,205.859,47.9,35220.084,1837952.0,38676.0,17801769.0,220302.0,33354.0
Italy,ITA,0.2645699,53,0.4831744,3522.076,95399000.0,3,22.1925858303397,2,3,60367471.0,205.859,47.9,35220.084,1706877.0,39050.0,38916480.0,326995.0,50082070.0
Italy,ITA,0.2645699,53,0.4831744,3522.076,95399000.0,3,22.1925858303397,2,4,60367471.0,205.859,47.9,35220.084,718895.0,5828.0,42270335.0,45556.0,25060031.0
Japan,JPN,1.4672,73,1.586322,4558.669,31882000.0,3,41.1213650479192,1,1,126050796.0,347.778,48.2,39002.223,18590.0,974.0,390219.0,0.0,0.0
Japan,JPN,1.4672,73,1.586322,4558.669,31882000.0,3,41.1213650479192,1,2,126050796.0,347.778,48.2,39002.223,167364.0,2192.0,3164734.0,0.0,0.0
Japan,JPN,1.4672,73,1.586322,4558.669,31882000.0,3,41.1213650479192,1,3,126050796.0,347.778,48.2,39002.223,408843.0,9030.0,9278831.0,0.0,50523063.0
Japan,JPN,1.4672,73,1.586322,4558.669,31882000.0,3,41.1213650479192,1,4,126050796.0,347.778,48.2,39002.223,233846.0,2306.0,6291656.0,0.0,38432052.0
Latvia,LVA,0.5117261,56,1.104713,1867.283,8342000.0,3,23.9407668132642,4,1,1866934.0,31.212,43.9,25063.846,1118.0,30.0,150837.0,0.0,0.0
Latvia,LVA,0.5117261,56,1.104713,1867.283,8342000.0,3,23.9407668132642,4,2,1866934.0,31.212,43.9,25063.846,39508.0,601.0,625298.0,0.0,2320.0
Latvia,LVA,0.5117261,56,1.104713,1867.283,8342000.0,3,23.9407668132642,4,3,1866934.0,31.212,43.9,25063.846,71188.0,1318.0,1681202.0,0.0,1096752.0
Latvia,LVA,0.5117261,56,1.104713,1867.283,8342000.0,3,23.9407668132642,4,4,1866934.0,31.212,43.9,25063.846,120508.0,1812.0,1936565.0,0.0,778322.0
Lithuania,LTU,0.6983815,60,1.043069,2414.809,6150000.0,2,40.7248459410706,4,1,2689862.0,45.135,43.5,29524.265,1812.0,61.0,409526.0,0.0,0.0
Lithuania,LTU,0.6983815,60,1.043069,2414.809,6150000.0,2,40.7248459410706,4,2,2689862.0,45.135,43.5,29524.265,139055.0,1727.0,1052767.0,0.0,7338.0
Lithuania,LTU,0.6983815,60,1.043069,2414.809,6150000.0,2,40.7248459410706,4,3,2689862.0,45.135,43.5,29524.265,96226.0,1575.0,1974559.0,0.0,2151257.0
Lithuania,LTU,0.6983815,60,1.043069,2414.809,6150000.0,2,40.7248459410706,4,4,2689862.0,45.135,43.5,29524.265,194646.0,2460.0,1968234.0,0.0,905144.0
Luxembourg,LUX,2.112312,80,1.733296,5220.868,1041000.0,3,78.0171007884326,1,1,634814.0,231.447,39.7,94277.965,4299.0,110.0,191097.0,1445.0,0.0
Luxembourg,LUX,2.112312,80,1.733296,5220.868,1041000.0,3,78.0171007884326,1,2,634814.0,231.447,39.7,94277.965,39790.0,371.0,1005987.0,2763.0,799.0
Luxembourg,LUX,2.112312,80,1.733296,5220.868,1041000.0,3,78.0171007884326,1,3,634814.0,231.447,39.7,94277.965,20399.0,241.0,1222943.0,2891.0,467548.0
